GEOID20_0KM,AREAID
517100009021000,110763374868
517100008002010,110763374868
517100005004000,110763374868
517100005003013,110763374868
517100005003012,110763374868
517100005003011,110763374868
517100005003010,110763374868
517100005003009,110763374868
517100005003008,110763374868
517100005003007,110763374868
517100005003005,110763374868
517100005003003,110763374868
517100005003002,110763374868
517100005003001,110763374868
517100005003000,110763374868
517100005002006,110763374868
517100005002005,110763374868
517100005002004,110763374868
517100005002000,110763374868
517100004003008,110763374868
517100004001009,110763374868
517100004001008,110763374868
517100004001007,110763374868
517100004001005,110763374868
517100004001004,110763374868
517100003003018,110763374868
517100003003015,110763374868
517100003003014,110763374868
517100003003013,110763374868
517100003003012,110763374868
370499612012038,110538231124
370499612012037,110538231124
370499612012036,110538231124
370499612012035,110538231124
370499612012034,110538231124
370499612012033,110538231124
370499612012032,110538231124
370499612012031,110538231124
370499612012030,110538231124
370499612012029,110538231124
370499612012028,110538231124
370499612012027,110538231124
370499612012026,110538231124
370499612012025,110538231124
370499612012024,110538231124
370499612012023,110538231124
370499612012022,110538231124
370499612012021,110538231124
370499612012020,110538231124
370499612012019,110538231124
370499612012018,110538231124
370499612012017,110538231124
370499612012016,110538231124
370499612012015,110538231124
370499612012014,110538231124
370499612012013,110538231124
370499612012012,110538231124
370499612012011,110538231124
370499612012010,110538231124
370499612012009,110538231124
370499612012008,110538231124
370499612012007,110538231124
370499612012006,110538231124
370499612012005,110538231124
370499612012004,110538231124
370499612012003,110538231124
370499612012002,110538231124
370499612012001,110538231124
370499612012000,110538231124
370499612011045,110538231124
370499612011044,110538231124
370499612011043,110538231124
370499612011042,110538231124
370499612011041,110538231124
370499612011040,110538231124
370499612011039,110538231124
370499612011038,110538231124
370499612011037,110538231124
370499612011036,110538231124
370499612011035,110538231124
370499612021088,110538231124
370499612021089,110538231124
370499612021090,110538231124
370499612021095,110538231124
370499612021096,110538231124
370499612021097,110538231124
370499612021098,110538231124
370499612021099,110538231124
370499612021100,110538231124
370499612021101,110538231124
370499612021102,110538231124
370499612021104,110538231124
370499612021105,110538231124
370499613012000,110538231124
370499613012001,110538231124
370499613012002,110538231124
370499613012003,110538231124
370499613012007,110538231124
370499613013001,110538231124
370499613013013,110538231124
370499613013015,110538231124
370499613013020,110538231124
370499613013021,110538231124
370499613021001,110538231124
370499613021003,110538231124
370499613023012,110538231124
